timestamp,trip.tripId,trip.startTime,trip.startDate,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
1737334470,weekday_U7510_U751002_2,08:01:04,20250120,U7510,3.084197,101.61423,84.0,17.78,W5174V,W5174V
1737334457,weekday_S4050_S405002_0,07:27:17,20250120,S4050,3.084917,101.549,0.0,0.0,WB7413B,WB7413B
1737334490,weekday_T2240_T224002_0,08:31:50,20250120,T2240,3.147019,101.73571,317.1,20.0,W7970S,W7970S
1737334476,weekday_U2500_U250001_16,08:29:31,20250120,U2500,3.209129,101.727455,333.7,35.19,WVA4813,WVA4813
1737334472,weekday_U8020_U802002_3,08:23:02,20250120,U8020,3.148033,101.61333,55.0,5.56,WUX5708,WUX5708
1737334485,weekday_U6000_U600001_7,08:11:02,20250120,U6000,3.043309,101.620804,91.6,9.07,VGF4514,VGF4514
1737334494,weekday_P0060_P006002_1,07:30:38,20250120,P0060,3.164545,101.61239,251.1,14.08,WWB5464,WWB5464
1737334480,weekday_U8510_U851002_0,08:51:10,20250120,U8510,3.149734,101.696075,34.4,2.22,WQA647,WQA647
1737334437,weekday_U3000_U300002_3,08:01:37,20250120,U3000,3.160506,101.729935,44.3,7.76,WVE4800,WVE4800
1737334492,weekday_P0010_P001002_2,08:34:06,20250120,P0010,3.084717,101.654655,331.5,22.41,WB4416E,WB4416E
1737334453,weekday_U3000_U300002_3,07:55:26,20250120,U3000,3.157319,101.7068,223.6,9.07,VFA2791,VFA2791
1737334488,weekday_P1020_P102002_0,08:50:42,20250120,P1020,2.955816,101.6682,284.79,51.49,WC348J,WC348J
1737334478,weekday_U7500_U750001_1,08:16:36,20250120,U7500,3.084535,101.62007,264.4,7.59,WPB7861,WPB7861
1737334472,weekday_S4040_S404002_1,08:51:02,20250120,S4040,3.05925,101.50467,264.0,37.04,WB3284N,WB3284N
1737334464,weekday_U2500_U250002_17,08:50:54,20250120,U2500,3.213767,101.727165,222.0,22.22,WVC2034,WVC2034
1737334453,weekday_P0020_P002002_1,08:50:57,20250120,P0020,3.104104,101.639275,354.2,5.93,WVB6840,WVB6840
1737334497,weekday_T5800_T580002_1,08:53:32,20250120,T5800,3.06201,101.673065,106.7,0.0,W4958R,W4958R
1737334486,weekday_U1710_U171001_2,08:21:46,20250120,U1710,3.201033,101.68983,0.0,0.0,WVC2524,WVC2524
